City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,inhambane,35.3833,-23.865,293.77,64,39,4.76,MZ,1691554163
271,prince george,-122.753,53.9166,291.64,88,100,2.4,CA,1691498204
272,tara,74.371,56.8944,287.7,77,39,1.84,RU,1691536601
273,glace bay,-59.957,46.1969,291.36,89,99,3.58,CA,1691484590
274,san antonio de pale,5.6325,-1.4014,296.62,79,1,6.25,GQ,1691559674
275,kem',34.5793,64.9555,287.29,91,0,3.46,RU,1691543143
276,fort bragg,-79.006,35.139,302.54,58,0,4.63,US,1691490619
277,tyukhtet,89.3011,56.5389,287.66,85,53,0.79,RU,1691533108
278,caaguazu,-56.0167,-25.45,292.4,93,100,3.83,PY,1691489860
279,shingu,135.9833,33.7333,300.77,93,83,4.02,JP,1691525590
280,sydney,151.2073,-33.8679,291.1,74,20,3.6,AU,1691527270
281,skjern,8.5,55.95,287.27,76,100,0.45,DK,1691552681
282,port saint john's,29.5448,-31.6229,291.74,69,95,4.09,ZA,1691556235
283,jalapa,-96.9167,19.5333,294.73,90,21,1.66,MX,1691496365
284,choibalsan,114.5,48.0667,291.28,64,99,0.87,MN,1691528852
285,mbandaka,18.2603,0.0487,294.17,96,61,0.88,CD,1691556544
286,uacu cungo,15.1208,-11.3634,289.98,61,1,0.8,AO,1691558087
287,labytnangi,66.4183,66.6572,285.76,72,100,1.5,RU,1691534491
288,zeya,127.2667,53.75,296.43,49,100,2.6,RU,1691524670
289,al jubayl,49.6583,27.0112,307.59,35,0,4.69,SA,1691546969
290,ta`u,-169.5144,-14.2336,300.59,69,84,3.87,AS,1691516217
291,lucapa,20.7447,-8.4192,293.76,37,0,1.73,AO,1691556531
292,mantua,10.7833,45.1667,292.62,81,68,1.34,IT,1691554231
293,kirkland lake,-80.0377,48.1446,291.49,80,35,2.28,CA,1691489090
294,vadso,29.7487,70.0744,293.64,77,6,3.09,NO,1691540448
